syn,urg,cwr,ecn,ack,push,reset,fin,ns,res,srcbytes,dstbytes,wrong,duration,srcip,srcport,dstip,dstport,type,sample_rate
2,0,0,0,6,1,0,0,0,0,238,2920,0,0.028203,172.16.116.201,14545,207.46.130.14,80,6,1000
2,0,0,0,12,1,0,0,0,0,205,8760,0,0.072155,172.16.117.132,14943,198.76.65.20,80,6,1000
2,0,0,0,138,88,0,0,0,0,93,1308,0,3.090693,172.16.114.148,15313,172.16.112.50,23,6,1000
2,0,0,0,117,76,0,0,0,0,71,533,0,3.8085480000000005,172.16.114.168,15458,172.16.113.50,23,6,1000
2,0,0,0,218,121,0,0,0,0,161,242,0,4.510304,172.16.114.169,15701,172.16.114.50,23,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.004915,172.16.117.111,16422,134.205.165.120,80,6,1000
2,0,0,0,8,2,0,1,0,0,211,2365,0,0.053651,172.16.117.132,16500,134.67.99.15,80,6,1000
2,0,0,0,227,152,0,0,0,0,144,1360,0,3.767523,172.16.112.207,16522,172.16.112.50,23,6,1000
0,0,0,0,880,587,0,0,0,0,6092,6678,0,6.178545999999999,172.16.112.207,16522,172.16.112.50,23,6,1000
2,0,0,0,43,1,0,0,0,0,194,46720,0,0.11786700000000001,172.16.117.132,17686,132.26.17.20,80,6,1000
2,0,0,0,36,13,0,0,0,0,27434,288,0,0.121218,196.37.75.158,4510,172.16.114.168,25,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.004524,172.16.116.201,19060,209.1.28.24,80,6,1000
2,0,0,0,145,96,0,0,0,0,85,550,0,4.099514,172.16.112.207,19458,172.16.113.50,23,6,1000
2,0,0,0,8,2,0,2,0,0,206,310,0,0.035259,172.16.117.103,20539,207.25.71.5,80,6,1000
2,0,0,0,4,2,0,0,0,0,235,269,0,0.021966,172.16.117.103,21101,206.132.25.51,80,6,1000
2,0,0,0,10,1,0,0,0,0,225,7300,0,0.0477,172.16.117.132,22579,199.199.118.156,80,6,1000
2,0,0,0,7,2,0,0,0,0,201,3702,0,0.034341,172.16.117.132,23152,207.193.140.2,80,6,1000
2,0,0,0,207,133,0,0,0,0,147,4179,0,172.47958799999998,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,2783,1832,0,0,0,0,964,7529,0,3383.6832590000004,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,24,16,0,0,0,0,10,147,0,20.34181799999988,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,1211,798,0,0,0,0,422,8370,0,1709.583362,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,219,142,0,0,0,0,73,253,0,81.72035000000052,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,924,613,0,0,0,0,315,1089,0,615.5852340000001,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,346,229,0,0,0,0,115,727,0,20.679070999999567,172.16.114.168,23666,197.182.91.233,23,6,1000
0,0,0,0,152,101,0,0,0,0,51,56,0,38.390870999999606,172.16.114.168,23666,197.182.91.233,23,6,1000
2,0,0,0,9,2,0,2,0,0,244,2285,0,0.028876,172.16.117.103,23721,204.123.2.107,80,6,1000
2,0,0,0,3,1,0,0,0,0,253,0,0,0.0052179999999999995,172.16.117.103,24641,199.95.207.36,80,6,1000
2,0,0,0,3,1,0,0,0,0,346,0,0,0.004905,172.16.115.5,24742,204.202.136.230,80,6,1000
2,0,0,0,637,394,0,0,0,0,317,31457,0,17.066005999999998,194.7.248.153,4993,172.16.112.194,23,6,1000
0,0,0,0,1162,675,0,0,0,0,461,369687,0,21.372929,194.7.248.153,4993,172.16.112.194,23,6,1000
0,0,0,0,598,260,0,0,0,0,0,534484,0,5.9287529999999995,194.7.248.153,4993,172.16.112.194,23,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.117.132,26155,202.139.249.250,80,6,1000
2,0,0,0,8,2,0,0,0,0,220,4221,0,0.038323,172.16.112.207,27192,209.67.29.11,80,6,1000
2,0,0,0,14,3,0,1,0,0,325,7386,0,0.046425,172.16.115.5,28796,199.95.74.97,80,6,1000
2,0,0,0,9,5,0,0,0,0,45,150,0,0.889117,196.227.33.189,5147,172.16.112.100,21,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.002839,172.16.115.87,29874,205.181.112.65,80,6,1000
2,0,0,0,6,2,0,1,0,0,218,339,0,0.058707,172.16.112.207,30582,209.67.29.11,80,6,1000
2,0,0,0,6,3,0,0,0,0,226,1625,0,0.024434,172.16.117.132,30894,209.64.144.2,80,6,1000
2,0,0,0,119,75,0,0,0,0,123,195,0,2.963829,172.16.112.149,31296,172.16.114.50,23,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.003006,172.16.117.132,31775,209.1.112.251,80,6,1000
2,0,0,0,8,1,0,0,0,0,255,4380,0,0.08469,172.16.117.111,1172,209.1.203.50,80,6,1000
2,0,0,0,870,576,0,0,0,0,367,451,0,477.16743399999996,135.8.60.182,5452,172.16.114.50,23,6,1000
0,0,0,0,154,103,0,0,0,0,53,52,0,137.14029399999998,135.8.60.182,5452,172.16.114.50,23,6,1000
0,0,0,0,950,634,0,0,0,0,321,321,0,630.9901440000001,135.8.60.182,5452,172.16.114.50,23,6,1000
0,0,0,0,406,271,0,0,0,0,137,138,0,120.829661,135.8.60.182,5452,172.16.114.50,23,6,1000
0,0,0,0,452,302,0,0,0,0,189,199,0,585.9502009999999,135.8.60.182,5452,172.16.114.50,23,6,1000
2,0,0,0,8,2,0,1,0,0,226,2445,0,0.036375,172.16.117.111,1878,207.25.71.200,80,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.0018039999999999998,172.16.117.111,2620,206.132.25.51,80,6,1000
2,0,0,0,2543,1679,0,0,0,0,953,6727,0,2406.657755,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,293,193,0,0,0,0,97,220,0,95.6186359999997,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,274,181,0,0,0,0,92,93,0,123.20979100000021,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,432,286,0,0,0,0,151,151,0,449.545048,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,1345,887,0,0,0,0,467,2920,0,1916.542104,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,391,258,0,0,0,0,134,606,0,258.2065790000006,172.16.114.207,2701,196.37.75.158,23,6,1000
0,0,0,0,1847,1216,0,0,0,0,643,5597,0,2257.5677529999994,172.16.114.207,2701,196.37.75.158,23,6,1000
2,0,0,0,152,97,0,0,0,0,97,1313,0,5.298553,172.16.113.105,2702,172.16.112.50,23,6,1000
2,0,0,0,9,2,0,2,0,0,350,335,0,0.031454,172.16.115.87,3401,205.181.112.65,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.000144,194.27.251.21,5895,172.16.112.100,80,6,1000
2,0,0,0,9,1,0,0,0,0,320,5840,0,0.077886,172.16.115.5,4639,132.25.1.25,80,6,1000
2,0,0,0,5,2,0,0,0,0,343,462,0,0.030929,172.16.115.87,5878,205.181.112.65,80,6,1000
2,0,0,0,6,2,0,1,0,0,322,273,0,0.005481000000000001,135.13.216.191,6086,172.16.114.50,80,6,1000
2,0,0,0,3,1,0,0,0,0,171,0,0,0.004817,172.16.117.111,7656,209.1.224.15,80,6,1000
2,0,0,0,6,2,0,1,0,0,219,300,0,0.036499000000000004,172.16.117.111,8235,204.123.2.107,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.003264,172.16.115.87,8337,207.25.71.200,80,6,1000
2,0,0,0,5,2,0,0,0,0,196,803,0,0.021522,172.16.117.103,8846,143.166.224.42,80,6,1000
2,0,0,0,4,2,0,0,0,0,331,480,0,0.018819,172.16.115.87,9624,207.25.71.200,80,6,1000
2,0,0,0,6,1,0,0,0,0,333,2920,0,0.046745999999999996,172.16.115.87,10369,207.25.71.200,80,6,1000
2,0,0,0,8,2,0,2,0,0,225,862,0,0.026274000000000002,172.16.117.103,10870,143.166.224.42,80,6,1000
2,0,0,0,344,227,0,0,0,0,2467,6091,0,122.362885,195.73.151.50,6236,172.16.112.50,22,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.112.207,12372,209.1.224.190,80,6,1000
2,1,0,0,1100,696,0,0,0,0,441,10002,0,2026.561621,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,625,416,0,0,0,0,216,1014,0,527.9098019999999,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,1173,777,0,0,0,0,413,1613,0,816.3999180000002,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,501,333,0,0,0,0,175,3707,0,792.2303570000003,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,319,210,0,0,0,0,110,3228,0,564.2101009999998,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,1461,904,0,0,0,0,481,3370,0,900.4397470000004,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,1167,743,0,0,0,0,453,12704,0,2887.060031,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,126,82,0,0,0,0,46,222,0,344.5401619999993,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,641,422,0,0,0,0,230,5930,0,2704.8400729999994,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,108,71,0,0,0,0,37,801,0,38.100062000001344,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,1396,925,0,0,0,0,512,1798,0,4684.1522350000005,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,1782,1166,0,0,0,0,636,5635,0,3298.5593949999998,196.227.33.189,6668,172.16.114.50,23,6,1000
0,0,0,0,241,160,0,0,0,0,81,211,0,92.15851800000021,196.227.33.189,6668,172.16.114.50,23,6,1000
2,0,0,0,8,2,0,2,0,0,168,276,0,0.030156,172.16.117.111,12558,199.172.144.25,80,6,1000
2,0,0,0,215,135,0,0,0,0,120,1417,0,9.832059,172.16.113.105,13558,172.16.112.50,23,6,1000
2,0,0,0,82,51,0,0,0,0,74,1290,0,4.832459,172.16.113.204,13831,172.16.112.50,23,6,1000
2,0,0,0,3,1,0,0,0,0,24,0,0,0.033759,172.16.114.50,1644,172.16.113.50,23,6,1000
2,0,0,0,32,1,0,0,0,0,229,33580,0,0.085326,172.16.117.103,14432,196.32.32.19,80,6,1000
2,0,0,0,174,114,0,0,0,0,97,559,0,4.637283,172.16.114.148,14870,172.16.113.50,23,6,1000
2,0,0,0,4,1,0,0,0,0,355,0,0,0.02434,172.16.115.87,15468,140.175.174.30,80,6,1000
2,0,0,0,3,1,0,0,0,0,276,0,0,0.004872,172.16.115.87,15904,206.184.238.129,80,6,1000
2,0,0,0,23,1,0,0,0,0,312,21900,0,0.114177,172.16.115.87,16476,209.25.10.214,80,6,1000
2,0,0,0,2613,1718,0,0,0,0,936,33813,0,1471.545175,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,441,294,0,0,0,0,151,151,0,424.75819400000006,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,4742,3146,0,0,0,0,1601,2541,0,2614.7578029999995,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,1411,928,0,0,0,0,472,472,0,434.30681200000066,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,747,497,0,0,0,0,254,255,0,519.5159839999997,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,1182,785,0,0,0,0,398,397,0,335.7179749999996,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,1299,860,0,0,0,0,447,448,0,833.7640030000003,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,2873,1908,0,0,0,0,971,971,0,1600.116833,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,886,589,0,0,0,0,301,301,0,407.42797199999944,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,146,96,0,0,0,0,48,48,0,21.87891800000034,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,281,181,0,0,0,0,92,274,0,360.27729700000054,172.16.114.169,16586,196.227.33.189,23,6,1000
0,0,0,0,2831,1855,0,0,0,0,924,19321,0,2053.8738300000005,172.16.114.169,16586,196.227.33.189,23,6,1000
2,0,0,0,16,1,0,0,0,0,229,13140,0,0.060214,172.16.117.103,16597,196.32.32.19,80,6,1000
2,0,0,0,10,2,0,1,0,0,201,3442,0,0.039724,172.16.117.132,17127,206.101.198.76,80,6,1000
2,0,0,0,4,1,0,0,0,0,253,0,0,0.019167,172.16.117.111,17587,207.121.187.251,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.00513,172.16.115.87,18689,209.67.29.11,80,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.0066760000000000005,172.16.115.87,19647,152.163.210.24,80,6,1000
2,0,0,0,3,1,0,0,0,0,242,0,0,0.001451,194.27.251.21,8256,172.16.112.100,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.003169,172.16.115.87,20999,209.67.29.11,80,6,1000
2,0,0,0,69,42,0,0,0,0,359,1632,0,2.7748310000000003,172.16.113.204,21037,172.16.112.50,23,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.112.207,21189,208.160.10.122,80,6,1000
2,0,0,0,7,2,0,2,0,0,333,759,0,0.026299,172.16.115.87,22576,209.67.29.11,80,6,1000
2,0,0,0,41,1,0,0,0,0,329,43800,0,0.261841,172.16.115.87,22786,199.123.32.60,80,6,1000
2,0,0,0,13,1,0,0,0,0,212,10220,0,0.087629,172.16.117.111,23096,132.26.17.20,80,6,1000
2,0,0,0,432,284,0,0,0,0,1415,2828,0,5.379306,172.16.114.207,23595,172.16.112.50,23,6,1000
2,2,0,0,1254,809,0,0,0,0,503,19025,0,1695.5757219999998,172.16.113.105,24420,194.7.248.153,23,6,1000
2,0,0,0,4,2,0,0,0,0,330,367,0,0.023163,172.16.115.87,24652,209.67.29.11,80,6,1000
2,0,0,0,21,15,0,2,0,0,994,260,0,0.062563,194.7.248.153,8891,172.16.112.100,25,6,1000
2,0,0,0,19,3,0,2,0,0,227,11809,0,0.061387,172.16.112.207,25221,205.181.112.65,80,6,1000
2,0,0,0,4,1,0,0,0,0,0,82,0,0.434514,172.16.114.207,26125,194.7.248.153,25,6,1000
2,0,0,0,4,1,0,0,0,0,226,0,0,0.017884,172.16.112.207,26688,205.181.112.65,80,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.117.103,27720,207.155.125.158,80,6,1000
2,0,0,0,10,1,0,0,0,0,320,7300,0,0.040277,172.16.115.87,28744,199.95.74.90,80,6,1000
2,0,0,0,8,2,0,2,0,0,212,951,0,0.033375999999999996,172.16.117.103,28788,192.108.254.36,80,6,1000
2,0,0,0,356,233,0,0,0,0,991,2379,0,4.829098999999999,172.16.113.204,29057,172.16.112.50,23,6,1000
2,0,0,0,24,1,0,0,0,0,168,23360,0,0.079212,172.16.112.207,29336,206.132.25.51,80,6,1000
2,0,0,0,6,1,0,0,0,0,299,2920,0,0.01685,135.13.216.191,9840,172.16.114.50,80,6,1000
2,0,0,0,14,1,0,1,0,0,9035,0,0,0.061528,172.16.112.100,20,194.27.251.21,10039,6,1000
2,0,0,0,23,16,0,1,0,0,1628,334,0,0.398791,172.16.113.105,31446,135.8.60.182,25,6,1000
2,0,0,0,23,15,0,2,0,0,564,336,0,0.165605,135.8.60.182,10297,172.16.113.204,25,6,1000
2,0,0,0,9,2,0,2,0,0,292,303,0,0.023796,172.16.112.207,1288,206.132.25.51,80,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.000916,194.27.251.21,10570,172.16.112.100,80,6,1000
2,0,0,0,4,1,0,0,0,0,321,0,0,0.028075,172.16.115.5,3591,208.10.192.155,80,6,1000
2,0,0,0,6,2,0,1,0,0,262,295,0,0.023167,172.16.115.87,4556,209.143.225.100,80,6,1000
2,0,0,0,8,3,0,2,0,0,323,1554,0,0.022555000000000002,172.16.115.87,5681,199.95.74.90,80,6,1000
2,0,0,0,4,1,0,0,0,0,173,0,0,0.026981,172.16.112.207,5807,137.241.250.70,80,6,1000
2,0,0,0,9,2,0,2,0,0,214,987,0,0.029717,172.16.117.111,6568,192.56.219.60,80,6,1000
2,0,0,0,13,7,0,0,0,0,83,199,0,0.5836520000000001,195.115.218.108,10847,172.16.113.84,25,6,1000
2,0,0,0,18,2,0,1,0,0,253,13688,0,0.063925,172.16.112.207,8272,194.163.56.2,80,6,1000
2,0,0,0,9,2,0,2,0,0,354,327,0,0.026919,172.16.113.105,8743,205.181.112.67,80,6,1000
2,0,0,0,5,2,0,0,0,0,203,891,0,0.024148,172.16.117.111,10304,204.146.18.33,80,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.001466,172.16.113.105,11712,136.149.63.132,80,6,1000
2,0,0,0,139,89,0,0,0,0,93,1309,0,65.04307800000001,172.16.112.149,12386,172.16.112.50,23,6,1000
0,0,0,0,82,53,0,0,0,0,26,1533,0,31.428471,172.16.112.149,12386,172.16.112.50,23,6,1000
2,0,0,0,8,2,0,2,0,0,329,272,0,0.010553,135.13.216.191,11816,172.16.114.50,80,6,1000
2,0,0,0,22,12,0,0,0,0,8461,179,0,0.057874,172.16.114.207,12505,172.16.112.100,25,6,1000
2,0,0,0,16,1,0,0,0,0,237,13140,0,0.07432000000000001,172.16.112.207,14396,137.241.250.70,80,6,1000
2,0,0,0,727,477,0,0,0,0,317,1191,0,268.136766,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,141,89,0,0,0,0,49,243,0,95.47141,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,89,56,0,0,0,0,27,1525,0,162.87837099999996,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,1103,732,0,0,0,0,374,1334,0,478.950196,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,135,90,0,0,0,0,46,142,0,14.42000500000006,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,635,419,0,0,0,0,219,891,0,439.30999400000013,196.227.33.189,12344,172.16.114.50,23,6,1000
0,0,0,0,554,363,0,0,0,0,195,3136,0,373.399948,196.227.33.189,12344,172.16.114.50,23,6,1000
2,0,0,0,15,1,0,0,0,0,215,13140,0,0.063498,172.16.117.111,15403,199.95.74.92,80,6,1000
2,0,0,0,5,3,0,0,0,0,348,1163,0,0.024367,172.16.115.5,16422,207.25.79.88,80,6,1000
2,0,0,0,23,1,0,0,0,0,157,21900,0,0.11792000000000001,172.16.112.207,16506,152.163.210.24,80,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.115.5,17492,206.132.25.48,80,6,1000
2,0,0,0,448,248,0,0,0,0,128,17002,0,332.076421,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,281,162,0,0,0,0,50,4304,0,230.998415,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,194,110,0,0,0,0,34,4177,0,270.33733600000005,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,204,119,0,0,0,0,40,3492,0,123.3996709999999,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,180,101,0,0,0,0,23,16871,0,128.15577600000006,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,1250,732,0,0,0,0,268,20884,0,999.705896,172.16.113.84,17690,172.16.112.100,23,6,1000
0,0,0,0,112,61,0,0,0,0,13,6460,0,159.77777100000003,172.16.113.84,17690,172.16.112.100,23,6,1000
2,0,0,0,12,1,0,0,0,0,319,10220,0,0.051001,172.16.115.87,17996,159.142.131.74,80,6,1000
2,0,0,0,38,1,0,0,0,0,152,40880,0,0.10701400000000001,172.16.116.194,18499,206.132.25.51,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.002245,172.16.116.194,20541,206.132.25.51,80,6,1000
2,0,0,0,1280,840,0,0,0,0,511,1275,0,837.539758,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,1058,701,0,0,0,0,358,3414,0,1163.770763,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,1108,728,0,0,0,0,391,1197,0,3341.818518,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,254,168,0,0,0,0,84,945,0,300.83499200000006,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,2853,1871,0,0,0,0,1057,2570,0,2072.083215,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,716,476,0,0,0,0,245,245,0,372.5079880000003,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,240,160,0,0,0,0,82,82,0,202.21857600000018,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,1032,686,0,0,0,0,351,350,0,655.1739579999994,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,1304,865,0,0,0,0,442,442,0,599.3652430000002,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,404,269,0,0,0,0,137,138,0,290.89757699999967,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,319,213,0,0,0,0,110,109,0,243.60824800000046,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,397,265,0,0,0,0,136,137,0,520.2469829999992,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,525,349,0,0,0,0,178,177,0,162.6977260000003,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,476,316,0,0,0,0,161,162,0,309.4273119999998,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,184,123,0,0,0,0,63,62,0,123.80939299999956,172.16.113.84,20551,195.73.151.50,23,6,1000
0,0,0,0,719,473,0,0,0,0,246,247,0,330.3469720000012,172.16.113.84,20551,195.73.151.50,23,6,1000
